row_index,Mfg_Part_Num,MANUFACTURER_NAME,BRAND_NAME,confidence_score,needs_human_review,review_reason,groundedness_score
271,543141908,U S Lumber,TREX®,1.0,False,Clean,1.0
272,543144912,U S Lumber,TREX®,1.0,False,Clean,1.0
273,543141912,U S Lumber,TREX®,1.0,False,Clean,1.0
274,1513713,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
275,1513714,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
276,73012503,,,0.75,True,Missing Manufacturer/Brand,1.0
277,73018131,,,0.75,True,Missing Manufacturer/Brand,1.0
278,73018091,,,0.75,True,Missing Manufacturer/Brand,1.0
279,73018066,,,0.75,True,Missing Manufacturer/Brand,1.0
280,73018076,,,0.75,True,Missing Manufacturer/Brand,1.0
281,61109087,,,0.75,True,Missing Manufacturer/Brand,1.0
282,73018731,,,0.75,True,Missing Manufacturer/Brand,1.0
283,61109090,,,0.75,True,Missing Manufacturer/Brand,1.0
284,73053603,,,0.75,True,Missing Manufacturer/Brand,1.0
285,73053608,,,0.75,True,Missing Manufacturer/Brand,1.0
286,543340896,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
287,543340898,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
288,73272TBK,Palmer Donavin Mfg Company,DSI Westbury,1.0,False,Clean,1.0
289,543302127,U S Lumber,TREX®,1.0,False,Clean,1.0
290,543302147,U S Lumber,TREX®,1.0,False,Clean,1.0
291,73019599,,,0.75,True,Missing Manufacturer/Brand,1.0
292,73019648,,,0.75,True,Missing Manufacturer/Brand,1.0
293,73019598,,,0.75,True,Missing Manufacturer/Brand,1.0
294,73019647,,,0.75,True,Missing Manufacturer/Brand,1.0
295,543300257,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
296,543300277,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
297,SPB-44BPL,,,0.75,True,Missing Manufacturer/Brand,1.0
298,925219,Palmer Donavin Mfg Company,Palmer Donavin Mfg Company,1.0,False,Clean,1.0
299,27233,A J Manufacturing Inc,AJM,1.0,False,Clean,1.0
300,1517602,United Window & Door Manufacturing,United Window & Door,1.0,False,Clean,1.0
